# Released page text, listed

What this file is: every piece of text the atlas draws on every released
page, with the box it occupies. The released-page digests say that a page
changed; this says what changed on it.

One line per label. A label that moves moves one line; a label the page
stops drawing takes its line with it; a label the page starts drawing adds
one. The `at` column is which of the label's stated candidate positions it
took - `0` is where the atlas has always drawn it - and `duress` marks a
label placed on the least bad of its candidates because none was free.

Boxes are measured text, so this file is a fact about the platform below as
well as about this repository, exactly as the pixel column of
`released-pages.txt` is.

Recorded on: `Mac OS X 26.5.2/aarch64/Homebrew 21.0.11`

Regenerate with `make released-text`.

## The lines

field  ra           dec          family         at  duress  x        y        w      h      what
18     83.000000    0.000000     constellation  0   -       400.27   288.59   42.00  15.00  ORION
18     0.000000     89.000000    star           0   -       432.98   322.69   51.00  14.00  Polaris α
18     0.000000     89.000000    star           0   -       831.68   167.62   9.00   14.00  ε
18     0.000000     89.000000    star           0   -       622.69   273.40   10.00  14.00  δ
18     0.000000     89.000000    constellation  0   -       653.54   211.48   77.00  15.00  URSA MINOR
18     359.900000   0.000000     star           0   -       458.13   1.52     14.00  14.00  ω
18     359.900000   0.000000     star           0   -       698.70   62.57    8.00   14.00  ι
18     359.900000   0.000000     star           0   -       849.09   22.82    11.00  14.00  θ
18     359.900000   0.000000     star           0   -       672.38   254.94   10.00  14.00  λ
18     359.900000   0.000000     constellation  0   -       651.61   109.32   41.00  15.00  PISCES
12     10.684708    41.268750    star           0   -       249.42   546.70   11.00  14.00  μ
12     10.684708    41.268750    star           0   -       821.26   667.47   11.00  14.00  σ
12     10.684708    41.268750    deep sky       0   -       492.21   312.26   37.00  14.00  M 110
12     10.684708    41.268750    deep sky       0   -       456.68   373.65   30.00  14.00  M 32
12     10.684708    41.268750    deep sky       0   -       525.78   343.48   30.00  14.00  M 31
12     10.684708    41.268750    constellation  0   -       320.31   399.98   81.00  15.00  ANDROMEDA
12     83.000000    0.000000     star           0   -       376.80   433.34   52.00  14.00  Alnilam ε
12     83.000000    0.000000     star           0   -       291.75   488.82   51.00  14.00  Alnitak ζ
12     83.000000    0.000000     star           0   -       455.12   365.85   54.00  14.00  Mintaka δ
12     83.000000    0.000000     star           0   -       595.34   522.83   11.00  14.00  η
12     83.000000    0.000000     star           0   -       328.60   538.01   11.00  14.00  σ
12     83.000000    0.000000     star           0   -       804.63   128.80   11.00  14.00  ρ
12     83.000000    0.000000     deep sky       0   -       429.18   747.48   30.00  14.00  M 42
12     83.000000    0.000000     deep sky       0   -       396.52   738.27   30.00  14.00  M 43
12     83.000000    0.000000     deep sky       0   -       179.61   337.56   30.00  14.00  M 78
12     83.000000    0.000000     constellation  0   -       360.32   355.06   42.00  15.00  ORION
12     0.000000     89.000000    star           0   -       421.60   312.14   51.00  14.00  Polaris α
12     0.000000     89.000000    star           0   -       707.99   237.87   10.00  14.00  δ
12     0.000000     89.000000    constellation  0   -       639.58   226.27   77.00  15.00  URSA MINOR
12     359.900000   0.000000     star           0   -       782.91   210.05   10.00  14.00  λ
12     359.900000   0.000000     constellation  0   -       751.56   127.01   41.00  15.00  PISCES
8      10.684708    41.268750    star           0   -       304.56   363.30   10.00  14.00  ν
8      10.684708    41.268750    deep sky       0   -       511.94   296.54   37.00  14.00  M 110
8      10.684708    41.268750    deep sky       0   -       458.54   388.82   30.00  14.00  M 32
8      10.684708    41.268750    deep sky       0   -       562.39   343.47   30.00  14.00  M 31
8      83.000000    0.000000     star           0   -       337.20   478.54   52.00  14.00  Alnilam ε
8      83.000000    0.000000     star           0   -       209.39   561.93   51.00  14.00  Alnitak ζ
8      83.000000    0.000000     star           0   -       455.06   377.09   54.00  14.00  Mintaka δ
8      83.000000    0.000000     star           0   -       666.07   613.04   82.00  14.00  Saif al Jabbar η
8      83.000000    0.000000     star           0   -       599.29   -4.62    13.00  14.00  ψ
8      83.000000    0.000000     star           0   -       741.90   386.50   11.00  14.00  o
8      83.000000    0.000000     star           0   -       517.90   466.20   18.00  14.00  31
8      83.000000    0.000000     star           0   -       657.89   135.94   18.00  14.00  25
8      83.000000    0.000000     star           0   -       159.75   177.66   11.00  14.00  b
8      83.000000    0.000000     deep sky       0   -       417.20   950.71   30.00  14.00  M 42
8      83.000000    0.000000     deep sky       0   -       368.11   936.87   30.00  14.00  M 43
8      83.000000    0.000000     deep sky       0   -       42.08    334.57   30.00  14.00  M 78
8      0.000000     89.000000    star           0   -       404.59   296.36   51.00  14.00  Polaris α
8      0.000000     89.000000    star           0   -       330.18   633.05   11.00  14.00  2
8      0.000000     89.000000    star           0   -       835.55   184.73   47.00  14.00  Yildun δ
6      10.684708    41.268750    star           0   -       254.49   369.92   10.00  14.00  ν
6      10.684708    41.268750    deep sky       0   -       531.65   280.84   37.00  14.00  M 110
6      10.684708    41.268750    deep sky       0   -       460.39   403.97   30.00  14.00  M 32
6      10.684708    41.268750    deep sky       0   -       598.95   343.45   30.00  14.00  M 31
6      83.000000    0.000000     star           0   -       297.64   523.68   52.00  14.00  Alnilam ε
6      83.000000    0.000000     star           0   -       454.99   388.32   54.00  14.00  Mintaka δ
6      83.000000    0.000000     star           0   -       838.06   400.88   11.00  14.00  o
6      83.000000    0.000000     star           0   -       539.18   507.21   18.00  14.00  31
6      83.000000    0.000000     star           0   -       726.00   66.55    18.00  14.00  25
6      83.000000    0.000000     star           0   -       61.34    122.23   11.00  14.00  b
6      83.000000    0.000000     deep sky       0   -       405.24   1153.68  30.00  14.00  M 42
6      83.000000    0.000000     deep sky       0   -       339.73   1135.22  30.00  14.00  M 43
6      83.000000    0.000000     deep sky       0   -       -95.28   331.59   30.00  14.00  M 78
6      0.000000     89.000000    star           0   -       387.60   280.60   51.00  14.00  Polaris α
4      10.684708    41.268750    star           0   -       154.42   383.15   10.00  14.00  ν
4      10.684708    41.268750    deep sky       0   -       571.03   249.47   37.00  14.00  M 110
4      10.684708    41.268750    deep sky       0   -       464.09   434.25   30.00  14.00  M 32
4      10.684708    41.268750    deep sky       0   -       672.04   343.43   30.00  14.00  M 31
4      83.000000    0.000000     star           0   -       218.58   613.91   52.00  14.00  Alnilam ε
4      83.000000    0.000000     star           0   -       454.87   410.77   54.00  14.00  Mintaka δ
4      83.000000    0.000000     star           0   -       581.71   589.20   18.00  14.00  31
4      83.000000    0.000000     deep sky       0   -       381.32   1559.39  30.00  14.00  M 42
4      83.000000    0.000000     deep sky       0   -       283.01   1531.69  30.00  14.00  M 43
4      83.000000    0.000000     deep sky       0   -       -369.84  325.63   30.00  14.00  M 78
4      0.000000     89.000000    star           0   -       353.64   249.10   51.00  14.00  Polaris α
3      10.684708    41.268750    star           0   -       54.37    396.38   10.00  14.00  ν
3      10.684708    41.268750    deep sky       0   -       610.40   218.10   37.00  14.00  M 110
3      10.684708    41.268750    deep sky       0   -       467.79   464.52   30.00  14.00  M 32
3      10.684708    41.268750    deep sky       0   -       745.10   343.41   30.00  14.00  M 31
3      83.000000    0.000000     star           0   -       454.75   433.20   54.00  14.00  Mintaka δ
3      83.000000    0.000000     star           0   -       624.23   671.15   18.00  14.00  31
3      83.000000    0.000000     deep sky       0   -       357.41   1964.98  30.00  14.00  M 42
3      83.000000    0.000000     deep sky       0   -       226.31   1928.03  30.00  14.00  M 43
3      83.000000    0.000000     deep sky       0   -       -644.31  319.66   30.00  14.00  M 78
3      0.000000     89.000000    star           0   -       319.69   217.62   51.00  14.00  Polaris α
2      10.684708    41.268750    deep sky       0   -       689.13   155.38   37.00  14.00  M 110
2      10.684708    41.268750    deep sky       0   -       475.18   525.05   30.00  14.00  M 32
2      10.684708    41.268750    deep sky       0   -       891.21   343.36   30.00  14.00  M 31
2      83.000000    0.000000     star           0   -       454.50   478.07   54.00  14.00  Mintaka δ
2      83.000000    0.000000     deep sky       0   -       309.59   2776.03  30.00  14.00  M 42
2      83.000000    0.000000     deep sky       0   -       112.92   2720.60  30.00  14.00  M 43
2      83.000000    0.000000     deep sky       0   -       -1193.17 307.74   30.00  14.00  M 78
2      0.000000     89.000000    star           0   -       251.80   154.65   51.00  14.00  Polaris α
1      10.684708    41.268750    deep sky       0   -       925.29   -32.77   37.00  14.00  M 110
1      10.684708    41.268750    deep sky       0   -       497.37   706.62   30.00  14.00  M 32
1      10.684708    41.268750    deep sky       0   -       1329.49  343.22   30.00  14.00  M 31
1      83.000000    0.000000     star           0   -       453.75   612.67   54.00  14.00  Mintaka δ
1      83.000000    0.000000     deep sky       0   -       166.16   5208.93  30.00  14.00  M 42
1      83.000000    0.000000     deep sky       0   -       -227.22  5098.07  30.00  14.00  M 43
1      83.000000    0.000000     deep sky       0   -       -2839.59 271.98   30.00  14.00  M 78
