tyc,name,bayer,flamsteed,constellation
TYC 442-1788-1,,,,Oph
TYC 450-1371-1,,,,Ser
TYC 451-1386-1,,,4,Aql
TYC 453-352-1,,,64,Ser
TYC 454-1578-1,,,,Ser
TYC 457-687-1,Alya,θ1,63,Ser
TYC 457-688-1,,θ2,63,Ser
TYC 461-769-1,,,62,Ser
TYC 464-3033-1,,,24,Aql
TYC 464-3404-1,,,23,Aql
TYC 465-2618-1,,ν,32,Aql
TYC 467-4986-1,,,21,Aql
TYC 469-6227-1,Almizan,δ,30,Aql
TYC 469-6229-1,,c,35,Aql
TYC 472-3465-1,,,22,Aql
TYC 475-1667-1,,,19,Aql
TYC 480-3027-1,Tarazed,η,55,Aql
TYC 481-3392-1,,,58,Aql
TYC 482-3754-1,,,,Aql
TYC 486-4746-1,,,,Aql
TYC 486-5129-1,,,,Aql
TYC 487-3422-1,,σ,44,Aql
TYC 490-5566-1,,μ,38,Aql
TYC 493-3355-1,Alshain,β,60,Aql
TYC 504-2358-1,Chechia,,,
TYC 506-2497-1,,τ,63,Aql
TYC 511-1136-1,,,1,Aqr
TYC 521-2814-1,,ε,1,Equ
TYC 524-2807-1,,,13,Del
TYC 534-2623-1,,,3,Equ
TYC 536-2354-1,Kitalpha,α,8,Equ
TYC 538-2797-1,,,4,Equ
TYC 538-2807-1,,λ,2,Equ
TYC 540-2121-1,,,9,Equ
TYC 541-1932-1,,β,10,Equ
TYC 542-105-1,,,,Aqr
TYC 543-450-1,,,26,Aqr
TYC 547-1047-1,,d,25,Aqr
TYC 548-896-1,,,11,Peg
TYC 555-1661-1,,,3,Peg
TYC 555-1662-1,,,4,Peg
TYC 555-1663-1,,,7,Peg
TYC 558-2755-1,,,28,Aqr
TYC 560-1818-1,Seat,π,52,Aqr
TYC 563-782-1,,,37,Peg
TYC 563-833-1,,,34,Peg
TYC 563-1818-1,,,35,Peg
TYC 564-1847-1,,,18,Peg
TYC 564-2591-1,Fum al Faras,ν,22,Peg
TYC 565-1999-1,Biham,θ,26,Peg
TYC 566-1004-1,,,30,Peg
TYC 569-1947-1,,,1,Psc
TYC 569-1948-1,,,2,Psc
TYC 576-1918-1,,A,5,Psc
TYC 576-1919-1,,,3,Psc
TYC 578-1403-1,,,9,Psc
TYC 578-1415-1,,κ,8,Psc
TYC 579-1834-1,Fumalsamakah,β,4,Psc
TYC 580-1884-1,,γ,6,Psc
TYC 583-1722-1,,,,Psc
TYC 584-1515-1,,θ,10,Psc
TYC 584-1516-1,,b,7,Psc
TYC 585-450-1,,,15,Psc
TYC 585-1200-1,,,16,Psc
TYC 586-1293-1,,,21,Psc
TYC 586-1458-1,,λ,18,Psc
TYC 587-1273-1,,,25,Psc
TYC 587-1283-1,,,,Psc
TYC 589-1671-1,,,19,Psc
TYC 590-329-1,,,22,Psc
TYC 591-1744-1,,ι,17,Psc
TYC 593-398-1,,,26,Psc
TYC 593-1697-1,,ω,28,Psc
TYC 594-374-1,,c,32,Psc
TYC 594-999-1,,,31,Psc
TYC 595-579-1,,,35,Psc
TYC 595-1027-1,,,36,Psc
TYC 595-1040-3,,,38,Psc
TYC 596-1293-1,,d,41,Psc
TYC 596-1294-1,,,45,Psc
TYC 597-1668-1,,,34,Psc
TYC 600-1506-1,,,86,Peg
TYC 602-1388-1,,,42,Psc
TYC 604-1301-1,Kuton,δ,63,Psc
TYC 607-1499-1,,,58,Psc
TYC 612-1446-1,,ε,71,Psc
TYC 613-1248-1,,ζ,86,Psc
TYC 613-1249-1,Revati,ζ,86,Psc
TYC 618-1485-1,,,72,Psc
TYC 618-1486-1,,,75,Psc
TYC 621-853-1,,,,Psc
TYC 622-574-1,Torcular,ο,110,Psc
TYC 622-1219-1,,,,Psc
TYC 624-1324-1,,π,102,Psc
TYC 625-1392-1,,,54,Cet
TYC 627-535-1,,,101,Psc
TYC 627-607-1,,,104,Psc
TYC 630-858-1,,,,Psc
TYC 630-1238-1,,,64,Cet
TYC 631-1493-1,Al Kaff al Jidhmah,ξ1,65,Cet
TYC 632-1491-1,,ξ2,73,Cet
TYC 635-692-1,,ξ,24,Ari
TYC 635-817-1,,,25,Ari
TYC 635-906-1,,,,Ari
TYC 641-24-1,,,,Cet
TYC 641-985-1,Menkar,λ,91,Cet
TYC 642-47-1,,,31,Ari
TYC 642-412-1,,,85,Cet
TYC 643-936-1,,,38,Ari
TYC 643-937-1,,μ,87,Cet
TYC 650-1469-1,,ξ,2,Tau
TYC 650-1470-1,,t,6,Tau
TYC 650-1471-1,,ο,1,Tau
TYC 653-1366-1,,s,4,Tau
TYC 656-1725-1,,f,5,Tau
TYC 661-1403-1,,e,30,Tau
TYC 662-1546-1,,λ,35,Tau
TYC 664-811-1,,,,Tau
TYC 667-495-1,,,46,Tau
TYC 667-839-1,,μ,49,Tau
TYC 667-840-1,,,47,Tau
TYC 668-201-1,,,,Tau
TYC 672-1284-1,,r,66,Tau
TYC 673-777-1,,,,Tau
TYC 673-1488-1,,d,88,Tau
TYC 677-1116-1,,b,79,Tau
TYC 679-750-1,,h,57,Tau
TYC 680-993-1,,π,73,Tau
TYC 680-995-1,,,60,Tau
TYC 681-1151-1,,ρ,86,Tau
TYC 681-1152-1,,,76,Tau
TYC 681-1153-1,,,83,Tau
TYC 683-1217-1,Al Taj,π2,2,Ori
TYC 688-1867-1,,π1,7,Ori
TYC 690-1547-1,,c1,90,Tau
TYC 690-1548-1,,,93,Tau
TYC 692-1664-1,Manica,g,6,Ori
TYC 696-1788-1,Al Kumm,ο1,4,Ori
TYC 696-1790-1,,ο2,9,Ori
TYC 698-2328-1,,i,14,Ori
TYC 701-2047-1,,φ2,40,Ori
TYC 702-2789-1,,h,16,Ori
TYC 702-2790-1,,,13,Ori
TYC 705-2400-1,Meissa,λ,39,Ori
TYC 705-2401-1,Heka,φ1,37,Ori
TYC 707-1840-1,,,18,Ori
TYC 708-525-1,,,,
TYC 713-1669-1,,,35,Ori
TYC 721-2468-1,,μ,61,Ori
TYC 723-1241-1,,,134,Tau
TYC 727-1683-1,,,131,Tau
TYC 727-1684-1,,,135,Tau
TYC 727-1686-1,,,133,Tau
TYC 728-3138-1,,,137,Tau
TYC 728-3142-1,,,,
TYC 729-1980-1,,ν,67,Ori
TYC 733-263-1,,,14,Mon
TYC 734-2214-1,,,,Ori
TYC 735-3442-1,,l,75,Ori
TYC 739-2616-1,,,73,Ori
TYC 739-2617-1,,k,74,Ori
TYC 742-2472-1,,ξ,70,Ori
TYC 747-2462-1,,,16,Mon
TYC 747-2464-1,,,17,Mon
TYC 750-1880-1,,,15,Mon
TYC 754-273-1,,,32,Gem
TYC 754-2356-1,Alzirr,ξ,31,Gem
TYC 758-2357-1,,,30,Gem
TYC 759-2861-1,,,35,Gem
TYC 760-2586-1,,e,38,Gem
