tyc,name,bayer,flamsteed,constellation
TYC 2398-1609-1,,,19,Aur
TYC 2399-1843-1,,,2,Aur
TYC 2399-1844-1,,,1,Aur
TYC 2404-1349-1,Andrews' star,,,
TYC 2404-1350-1,,,26,Aur
TYC 2407-2149-1,,χ,25,Aur
TYC 2408-1775-1,,,,Aur
TYC 2410-2668-1,,,,Aur
TYC 2411-1859-1,,,,Aur
TYC 2411-2462-1,,φ,24,Aur
TYC 2415-1779-1,,σ,21,Aur
TYC 2418-1571-1,,υ,31,Aur
TYC 2418-1573-1,Mahasim,θ,37,Aur
TYC 2422-1408-1,,,48,Aur
TYC 2426-345-1,,,,Aur
TYC 2427-361-1,,,,
TYC 2438-1059-1,,τ,46,Gem
TYC 2440-1194-1,,,,Gem
TYC 2444-1113-1,,θ,34,Gem
TYC 2452-2167-1,,ρ,62,Gem
TYC 2457-2407-1,Castor,α,66,Gem
TYC 2458-2151-1,,π,80,Gem
TYC 2461-2342-1,,,70,Gem
TYC 2462-2103-1,Jishui,ο,71,Gem
TYC 2464-2366-1,,,65,Aur
TYC 2473-1324-1,,,,
TYC 2475-1304-1,,,,Lyn
TYC 2484-2191-1,,,46,Cnc
TYC 2485-2094-1,,σ1,51,Cnc
TYC 2485-2095-1,,σ3,64,Cnc
TYC 2485-2096-1,,,57,Cnc
TYC 2485-2097-1,,,61,Cnc
TYC 2488-1707-1,,σ2,59,Cnc
TYC 2489-2140-1,,,32,Lyn
TYC 2489-2141-1,,,33,Lyn
TYC 2492-1845-1,,,66,Cnc
TYC 2492-1847-1,,,,Cnc
TYC 2495-846-1,,,,
TYC 2496-1728-1,,α,40,Lyn
TYC 2497-418-1,Illyrian,,,
TYC 2497-1011-1,,,7,LMi
TYC 2499-1655-1,,,38,Lyn
TYC 2500-1007-1,,,9,LMi
TYC 2500-1532-1,,,10,LMi
TYC 2500-1533-1,,,11,LMi
TYC 2500-1534-1,,,8,LMi
TYC 2502-763-1,,,18,LMi
TYC 2503-1516-1,,,20,LMi
TYC 2507-1025-1,,,13,LMi
TYC 2509-1343-1,,,21,LMi
TYC 2510-1648-1,,,22,LMi
TYC 2511-1306-1,,,33,LMi
TYC 2512-1144-1,,,37,LMi
TYC 2512-1145-1,,,,LMi
TYC 2512-1146-1,,,42,LMi
TYC 2513-1223-1,,,27,LMi
TYC 2514-1293-1,,,28,LMi
TYC 2514-1294-1,,,30,LMi
TYC 2514-1295-1,,,34,LMi
TYC 2515-1141-1,,,36,LMi
TYC 2517-1209-1,,β,31,LMi
TYC 2517-1211-1,,,29,LMi
TYC 2518-1170-1,,,35,LMi
TYC 2519-2586-1,,,46,UMa
TYC 2520-2631-1,Alula Borealis,ν,54,UMa
TYC 2521-2271-1,Praecipua,,46,LMi
TYC 2521-2272-1,,,47,LMi
TYC 2521-2279-1,Lalande 21185,,,
TYC 2522-1438-1,,,,UMa
TYC 2522-2244-1,,,,UMa
TYC 2522-2245-1,,,,UMa
TYC 2523-2743-1,,,62,UMa
TYC 2525-2445-1,,,61,UMa
TYC 2526-1141-1,,,,UMa
TYC 2528-2277-1,,,,
TYC 2532-2226-1,,,37,Com
TYC 2533-1452-1,,,,CVn
TYC 2534-304-1,,,14,CVn
TYC 2541-727-1,,,,CVn
TYC 2542-1094-1,,,,CVn
TYC 2543-1189-1,,,25,CVn
TYC 2547-1181-1,,,,CVn
TYC 2547-1182-1,,,,CVn
TYC 2552-1081-1,,A,,Boo
TYC 2553-1140-1,,ρ,25,Boo
TYC 2559-1172-1,,,,Boo
TYC 2562-1241-1,,,,Boo
TYC 2563-1366-1,,η,2,CrB
TYC 2564-1629-1,,θ,4,CrB
TYC 2566-1639-1,Thiba,δ,49,Boo
TYC 2566-1640-1,,,50,Boo
TYC 2570-1518-1,,μ2,51,Boo
TYC 2570-1521-1,Alkalurops,μ1,51,Boo
TYC 2574-1972-1,,π,9,CrB
TYC 2576-2228-1,,ρ,15,CrB
TYC 2577-1754-1,,ζ1,7,CrB
TYC 2578-1609-1,,κ,11,CrB
TYC 2579-2094-1,,τ,16,CrB
TYC 2580-2437-1,,,23,Her
TYC 2580-2438-1,,ξ,19,CrB
TYC 2581-2343-1,,,32,Her
TYC 2582-3158-1,Rutilicus,ζ,40,Her
TYC 2583-1846-1,,σ,17,CrB
TYC 2583-1993-1,,ν1,20,CrB
TYC 2583-2106-1,,ν2,21,CrB
TYC 2587-70-1,,,25,Her
TYC 2589-1303-1,,,53,Her
TYC 2590-1412-1,,ε,58,Her
TYC 2594-1823-1,,d,59,Her
TYC 2596-1317-1,,w,72,Her
TYC 2596-1318-1,,u,68,Her
TYC 2598-1659-1,,,61,Her
TYC 2603-1829-1,,c,,Her
TYC 2604-1774-1,,π,67,Her
TYC 2604-1775-1,,e,69,Her
TYC 2604-1777-1,,ρ,75,Her
TYC 2608-2411-1,,ν,94,Her
TYC 2613-2218-1,,,,
TYC 2620-2298-1,,θ,91,Her
TYC 2621-2683-1,,b,99,Her
TYC 2622-1995-1,,A,104,Her
TYC 2635-1483-1,,κ,1,Lyr
TYC 2639-2460-1,,,,
TYC 2640-2019-1,,,19,Lyr
TYC 2642-2929-1,Sheliak,β,10,Lyr
TYC 2642-2931-1,,ν1,8,Lyr
TYC 2642-2932-1,,ν,9,Lyr
TYC 2643-3345-1,,,,
TYC 2643-3346-1,Sulafat,γ,14,Lyr
TYC 2643-3347-1,,λ,15,Lyr
TYC 2644-2411-1,,,17,Lyr
TYC 2649-1153-1,Xihe,,,
TYC 2650-2146-1,,δ1,11,Lyr
TYC 2651-2548-1,,δ2,12,Lyr
TYC 2652-1709-1,,ι,18,Lyr
TYC 2654-3277-1,,,,
TYC 2656-5248-1,,φ,12,Cyg
TYC 2658-2556-1,,,,
TYC 2660-4227-1,,,17,Cyg
TYC 2663-996-1,,,,Cyg
TYC 2663-1148-1,,,8,Cyg
TYC 2665-2093-1,,,,
TYC 2666-2297-1,,,4,Cyg
TYC 2667-100-1,,,11,Cyg
TYC 2668-995-1,,,15,Cyg
TYC 2673-65-1,,,,Cyg
TYC 2674-5840-1,,,,Cyg
TYC 2676-1688-1,,,39,Cyg
TYC 2677-1816-1,,η,21,Cyg
TYC 2680-1628-1,,,35,Cyg
TYC 2682-1564-1,,,,Cyg
TYC 2682-3762-1,,,25,Cyg
TYC 2683-3961-1,,b2,28,Cyg
TYC 2683-3962-1,,b3,29,Cyg
TYC 2683-3963-1,,b1,27,Cyg
TYC 2684-2041-1,,,36,Cyg
TYC 2685-1920-1,,,41,Cyg
TYC 2686-1751-1,,,48,Cyg
TYC 2687-2651-1,,,52,Cyg
TYC 2690-1645-1,,,49,Cyg
TYC 2694-2168-1,,,47,Cyg
TYC 2695-455-1,,,,Cyg
TYC 2695-4136-1,,,,Cyg
TYC 2695-4138-1,,,,Cyg
TYC 2695-4139-1,Aljanah,ε,53,Cyg
TYC 2697-1634-1,,,44,Cyg
TYC 2697-1635-1,,,42,Cyg
TYC 2699-3425-1,,λ,54,Cyg
TYC 2701-3917-1,,,,Cyg
TYC 2701-3919-1,,,,Cyg
TYC 2702-2764-1,,ζ,64,Cyg
TYC 2710-2647-1,,υ,66,Cyg
TYC 2715-3977-1,,,69,Cyg
TYC 2716-2883-1,,,70,Cyg
TYC 2718-2224-1,,,14,Peg
TYC 2724-2354-1,,π,29,Peg
TYC 2724-2355-1,,π1,27,Peg
TYC 2725-2262-1,,,,Cyg
TYC 2734-597-1,,,,Peg
TYC 2736-1823-1,Matar,η,44,Peg
TYC 2739-2138-1,,,38,Peg
TYC 2752-2219-1,,,64,Peg
TYC 2752-2220-1,,,63,Peg
TYC 2755-2215-1,,,,Peg
TYC 2759-2238-1,,,,Peg
TYC 2766-1925-1,,,72,Peg
TYC 2769-507-1,,,67,Peg
TYC 2770-2052-1,,,73,Peg
TYC 2772-1532-1,,,,
TYC 2779-1092-1,,,,And
TYC 2782-2251-1,,θ,24,And
TYC 2783-2251-1,,ρ,27,And
TYC 2786-2020-1,,,23,And
TYC 2794-1375-1,,,,And
TYC 2794-1709-1,,,26,And
TYC 2796-2404-1,,,,And
TYC 2798-472-1,,,,And
TYC 2798-1667-1,,μ,37,And
TYC 2800-766-1,,,45,And
TYC 2801-2090-1,,ν,35,And
TYC 2801-2091-1,,,32,And
TYC 2807-2079-1,,,39,And
TYC 2808-2069-1,,,,And
TYC 2808-2070-1,,,44,And
TYC 2811-2324-1,,,41,And
TYC 2813-2103-1,,,47,And
TYC 2819-2290-1,,τ,53,And
TYC 2820-2261-1,,,55,And
TYC 2822-2210-1,Titawin,υ,50,And
TYC 2823-2455-1,,,,
TYC 2825-2536-1,,,,And
TYC 2826-2183-1,,χ,52,And
TYC 2829-2251-1,,,58,And
TYC 2830-2552-1,,,59,And
TYC 2830-2553-1,,,59,And
TYC 2837-2311-1,Almach,γ1,57,And
TYC 2840-1669-1,Buna,,,
TYC 2842-2371-1,,b,60,And
TYC 2846-1428-1,,,20,Per
TYC 2846-1429-1,,,16,Per
TYC 2847-1572-1,Gorgonea Tertia,ρ,25,Per
TYC 2849-2054-1,,,12,Per
TYC 2850-2115-1,Gorgonea Secunda,π,22,Per
TYC 2851-2168-1,Algol,β,26,Per
TYC 2852-2474-1,Gorgonea Quarta,ω,28,Per
TYC 2857-2226-1,,,14,Per
TYC 2859-2274-1,Misam,κ,27,Per
TYC 2860-2382-1,,,30,Per
TYC 2866-2737-1,,,,Per
TYC 2868-1623-1,,ε,45,Per
TYC 2871-2573-1,,ν,41,Per
TYC 2873-3762-1,,l,32,Per
TYC 2874-518-1,,,,Per
TYC 2875-2557-1,,,,Per
TYC 2877-1168-1,,,49,Per
TYC 2877-1545-1,,,50,Per
TYC 2882-2046-1,,f,52,Per
TYC 2886-2036-1,,,,Per
TYC 2888-2054-1,,e,58,Per
TYC 2888-2055-1,,m,57,Per
TYC 2894-3065-1,,,4,Aur
TYC 2896-2101-1,Alhiba,μ,11,Aur
TYC 2899-369-1,,,5,Aur
TYC 2899-2009-1,,,6,Aur
TYC 2899-2236-1,Saclateni,ζ,8,Aur
TYC 2899-2237-1,Haedus,η,10,Aur
TYC 2900-2157-1,,λ,15,Aur
TYC 2901-2232-1,,,,
TYC 2904-199-1,,,,Aur
TYC 2905-1228-1,Bidelman's Peculiar Star,,,
TYC 2905-1947-1,,,59,Per
TYC 2907-1275-1,Almaaz,ε,7,Aur
TYC 2910-447-1,,,,Aur
TYC 2911-1795-1,,τ,29,Aur
TYC 2912-1835-1,,ν,32,Aur
TYC 2914-71-1,,,,Aur
TYC 2917-2528-1,,ρ,20,Aur
TYC 2924-2742-1,Menkalinan,β,34,Aur
TYC 2925-806-1,,,40,Aur
TYC 2927-323-1,Lucilinburhuc,,,
TYC 2930-1240-1,,,,Aur
TYC 2932-2463-1,,,51,Aur
TYC 2932-2464-1,,ψ3,52,Aur
TYC 2933-2393-1,,,39,Aur
TYC 2933-2394-1,,,38,Aur
TYC 2936-2025-1,,ψ2,50,Aur
TYC 2942-1708-1,,ψ8,61,Aur
TYC 2942-2005-1,,,59,Aur
TYC 2942-2006-1,,,60,Aur
TYC 2942-2007-1,,,62,Aur
TYC 2944-1954-1,,,63,Aur
TYC 2948-1039-1,,,64,Aur
TYC 2950-1335-1,,,,Aur
TYC 2950-1863-1,,ψ7,58,Aur
TYC 2953-1956-1,,ψ4,55,Aur
TYC 2953-1958-1,,ψ5,56,Aur
TYC 2954-1881-1,,,,Aur
TYC 2956-874-1,,,,Aur
TYC 2959-1907-1,,,,Lyn
TYC 2961-2073-1,,,66,Aur
TYC 2978-1152-1,,,,Lyn
TYC 2979-1990-1,,,28,Lyn
TYC 2980-2184-1,Alsciaukat,,31,Lyn
TYC 2983-1340-1,,,,Lyn
TYC 2986-1978-1,,,10,UMa
TYC 2988-1628-1,,,35,Lyn
TYC 2990-1662-1,,,36,Lyn
TYC 2992-1686-1,,,,Lyn
TYC 2992-1688-1,,,43,Lyn
TYC 2993-1588-1,,,16,LMi
TYC 2995-1482-1,,,42,Lyn
TYC 2996-1547-1,,,19,LMi
TYC 3002-1365-1,,,32,LMi
TYC 3002-1366-1,,,38,LMi
TYC 3004-567-1,,,,UMa
TYC 3004-578-1,,,,
TYC 3004-1418-1,Tania Australis,μ,34,UMa
TYC 3007-67-1,,,,
TYC 3007-1286-1,Tania Borealis,λ,33,UMa
TYC 3009-2703-1,Chalawan,,47,UMa
TYC 3010-2498-1,,,49,UMa
TYC 3010-2500-1,,,51,UMa
TYC 3010-2501-1,,,55,UMa
TYC 3011-2549-1,,ω,45,UMa
TYC 3012-2519-1,,ψ,52,UMa
TYC 3013-2482-1,,,57,UMa
TYC 3014-574-1,Groombridge 1830,,,
TYC 3015-1679-1,,,58,UMa
TYC 3015-2320-1,,,59,UMa
TYC 3015-2321-1,,,56,UMa
TYC 3017-2100-1,,,2,CVn
TYC 3018-747-1,,,9,CVn
TYC 3018-2755-1,,,6,CVn
TYC 3019-2030-1,,,67,UMa
TYC 3020-1698-1,,,4,CVn
TYC 3020-2541-1,Chara,β,8,CVn
TYC 3021-2548-1,,,10,CVn
TYC 3021-2644-1,,,,CVn
TYC 3021-2645-1,Cor Caroli,α2,12,CVn
TYC 3021-2646-1,,α1,12,CVn
TYC 3022-2305-1,,,19,CVn
TYC 3022-2306-1,,,20,CVn
TYC 3022-2308-1,,,15,CVn
TYC 3022-2310-1,,,17,CVn
TYC 3028-1187-1,,,23,CVn
TYC 3036-1151-1,Seginus,γ,27,Boo
TYC 3039-237-1,,,,
TYC 3040-969-1,,,,Boo
TYC 3042-1023-1,,,33,Boo
TYC 3044-1352-1,,,40,Boo
TYC 3047-1258-1,Nekkar,β,42,Boo
TYC 3048-172-1,Nikawiy,,,
TYC 3053-798-1,,,,
TYC 3053-2219-1,,μ,6,CrB
TYC 3054-2094-1,,λ,12,CrB
TYC 3055-2340-1,,ν2,53,Boo
TYC 3055-2341-1,,ν1,52,Boo
TYC 3056-1900-1,Ceginus,φ,54,Boo
TYC 3057-2021-1,,χ,1,Her
TYC 3060-1880-1,,,2,Her
TYC 3060-1881-1,,,4,Her
TYC 3061-1027-1,,,,
TYC 3062-2252-1,,,,
TYC 3066-2213-1,,σ,35,Her
TYC 3066-2214-1,,g,30,Her
TYC 3067-576-1,,,14,Her
TYC 3067-1842-1,,φ,11,Her
TYC 3070-1595-1,,η,44,Her
TYC 3078-360-1,,,,Her
TYC 3088-2412-1,,,,Her
TYC 3090-1896-1,,,,Her
TYC 3093-1947-1,,f,90,Her
TYC 3102-1975-1,,,,
TYC 3105-2070-1,Vega,α,3,Lyr
TYC 3108-2592-1,Al Athfar,μ,2,Lyr
TYC 3109-2453-1,,,,Lyr
TYC 3118-2080-1,Nasr Alwaki,ζ1,6,Lyr
TYC 3118-2081-1,,ζ2,7,Lyr
TYC 3121-2285-1,Aladfar,η,20,Lyr
TYC 3121-2287-1,,θ,21,Lyr
TYC 3122-3438-2,Double Double,ε1,4,Lyr
TYC 3122-3439-1,,ε2,5,Lyr
TYC 3131-2155-1,,,13,Lyr
TYC 3137-3764-1,,,19,Cyg
TYC 3137-3765-1,,,22,Cyg
TYC 3141-3692-1,,,,Cyg
TYC 3143-2178-1,,,14,Cyg
TYC 3147-30-1,,,,Cyg
TYC 3150-3061-1,,,,
TYC 3151-3442-1,Revenant of the Swan,P,34,Cyg
TYC 3152-2083-1,,,40,Cyg
TYC 3153-705-1,,,,
TYC 3156-2223-1,Sadr,γ,37,Cyg
TYC 3164-1678-1,,,,Cyg
TYC 3166-772-1,,,,Cyg
TYC 3168-2798-1,Bessel's Star,,61,Cyg
TYC 3168-2800-1,,,61,Cyg
TYC 3169-3875-1,,,,Cyg
TYC 3169-3876-1,,τ,65,Cyg
TYC 3171-2186-1,,ν,58,Cyg
TYC 3173-3151-1,,σ,67,Cyg
TYC 3179-1248-1,,,56,Cyg
TYC 3179-1354-1,,,57,Cyg
TYC 3180-2696-1,,ξ,62,Cyg
TYC 3181-836-1,,A,68,Cyg
TYC 3183-3283-1,,,72,Cyg
TYC 3184-2738-1,,,79,Cyg
TYC 3187-2159-1,,,74,Cyg
TYC 3188-1702-1,,,76,Cyg
TYC 3188-1949-1,,,77,Cyg
TYC 3189-1865-1,,,,Cyg
TYC 3195-1021-1,,,,Cyg
TYC 3196-2204-1,,,75,Cyg
TYC 3199-3591-1,,,1,Lac
TYC 3201-94-1,,,10,Lac
TYC 3205-2482-1,,,8,Lac
TYC 3205-2483-1,,,8,Lac
TYC 3209-2260-1,,,6,Lac
TYC 3210-2003-1,,,,Cyg
TYC 3216-1509-1,,,,And
TYC 3218-2413-1,,,12,Lac
TYC 3219-3491-1,,,,Lac
TYC 3222-1934-1,,,13,Lac
TYC 3223-3619-1,,,14,Lac
TYC 3223-3620-1,,,16,Lac
TYC 3224-3432-1,,,2,And
TYC 3224-3434-1,,ο,1,And
TYC 3225-3347-1,,,10,And
TYC 3225-3348-1,,,9,And
TYC 3226-2285-1,,,11,Lac
TYC 3227-3865-1,,,15,Lac
TYC 3228-3103-1,,,,And
TYC 3229-3137-1,,,6,And
TYC 3230-785-1,,,12,And
TYC 3231-323-1,Veritate,,14,And
TYC 3235-1512-1,,,15,And
TYC 3238-796-1,,,,And
TYC 3238-1934-1,,,13,And
TYC 3241-708-1,,,,And
TYC 3243-1412-1,,ι,17,And
TYC 3244-1530-1,,κ,19,And
TYC 3246-880-1,,,22,And
TYC 3246-2388-1,,,,And
TYC 3253-812-1,,,68,Cas
TYC 3253-1987-1,,π,20,Cas
TYC 3253-1988-1,,ο,22,Cas
TYC 3257-2189-1,,ξ,19,Cas
TYC 3259-394-1,Pearce's Star,,,Cas
TYC 3260-2342-1,,,,Cas
TYC 3261-246-1,,,,Cas
TYC 3262-353-1,,,,And
TYC 3265-2400-1,Adhil,ξ,46,And
TYC 3265-2401-1,,ω,48,And
TYC 3267-1681-1,,,,And
TYC 3268-835-1,,,,And
TYC 3268-1358-1,,φ,42,And
TYC 3274-1232-1,,,,Cas
TYC 3274-2090-1,,ν,25,Cas
TYC 3278-2505-1,,,,And
TYC 3282-2270-1,,,,And
TYC 3282-2271-1,Nembus,,51,And
TYC 3282-2272-1,Thail,A,49,And
TYC 3283-183-1,,,,And
TYC 3288-2587-1,,,3,Per
TYC 3291-2117-1,,,2,Per
TYC 3291-2118-1,,φ,,Per
TYC 3293-2271-1,,,6,Per
TYC 3298-896-1,,c,62,And
TYC 3302-908-1,,,63,And
TYC 3302-1892-1,,,65,And
TYC 3302-1893-1,,,64,And
TYC 3303-345-1,,,66,And
TYC 3304-2737-1,,θ,13,Per
TYC 3312-3022-1,,,36,Per
TYC 3314-1278-1,,,,Per
TYC 3314-1386-1,,,,Per
TYC 3316-2307-1,,,,Per
TYC 3316-2308-1,,σ,35,Per
TYC 3317-3033-1,,ψ,37,Per
TYC 3317-3034-1,,δ,39,Per
TYC 3318-1840-1,,ι,,Per
TYC 3319-2073-1,,,29,Per
TYC 3319-2074-1,,,31,Per
TYC 3320-2808-1,Mirfak,α,33,Per
TYC 3320-2810-1,,,34,Per
TYC 3320-2812-1,,,,Per
TYC 3320-2814-1,,,,Per
TYC 3323-91-1,,,,Per
TYC 3329-2516-1,,d,53,Per
TYC 3332-2426-1,,μ,51,Per
TYC 3332-2427-1,Nembus,c,48,Per
TYC 3335-2097-1,,λ,47,Per
TYC 3336-2435-1,,b,,Per
TYC 3339-1703-1,,A,43,Per
TYC 3341-1095-1,,b2,,Per
TYC 3343-895-1,,,,
TYC 3357-2332-1,,,9,Aur
TYC 3358-3141-1,Capella,α,13,Aur
TYC 3361-1787-1,,π,35,Aur
TYC 3362-1371-1,,,,Aur
TYC 3368-1338-1,,ο,27,Aur
TYC 3369-858-1,,,,Aur
TYC 3375-1206-1,,,43,Aur
TYC 3375-1677-1,,,42,Aur
TYC 3376-1530-1,,,47,Aur
TYC 3378-1788-1,,,36,Aur
TYC 3379-1707-1,,,41,Aur
TYC 3384-1194-1,Dolones,ψ1,46,Aur
TYC 3386-977-1,,,35,Cam
TYC 3391-2639-1,,ψ9,,Aur
TYC 3391-2640-1,,,16,Lyn
TYC 3396-2196-1,,,,
TYC 3398-2490-1,,ψ6,57,Aur
TYC 3401-1647-1,,,22,Lyn
TYC 3401-1648-1,,,21,Lyn
TYC 3404-878-1,,,,Lyn
TYC 3407-1701-1,,,25,Lyn
TYC 3410-2933-1,,,26,Lyn
TYC 3414-2496-1,,,27,Lyn
TYC 3415-2484-1,,,,
TYC 3416-2267-1,,,34,Lyn
TYC 3420-2149-1,Talitha,ι,9,UMa
TYC 3424-1626-1,Alkaphrah,κ,12,UMa
TYC 3425-1596-1,Intercrus,,41,Lyn
TYC 3430-1673-1,Alhaud,f,15,UMa
TYC 3431-1099-1,,,37,Lyn
TYC 3432-1450-1,,,26,UMa
TYC 3432-1451-1,,θ,25,UMa
TYC 3433-3-1,,,14,LMi
TYC 3433-1531-1,,,15,LMi
TYC 3436-1469-1,,,31,UMa
TYC 3437-811-1,,,,
TYC 3438-194-1,,,,
TYC 3440-1180-1,,,,UMa
TYC 3450-697-1,,,,UMa
TYC 3451-97-1,,,,UMa
TYC 3451-1061-1,,,,UMa
TYC 3452-1644-1,,,60,UMa
TYC 3452-1883-1,,,,
TYC 3452-2140-1,Taiyangshou,χ,63,UMa
TYC 3452-2143-2,,,65,UMa
TYC 3457-1877-1,,,3,CVn
TYC 3458-2328-1,,,5,CVn
TYC 3458-2329-1,,,7,CVn
TYC 3459-2144-1,,,11,CVn
TYC 3459-2145-1,,,,CVn
TYC 3459-2147-1,La Superba,,,CVn
TYC 3460-2120-1,,,,CVn
TYC 3462-2651-1,,,21,CVn
TYC 3466-1270-1,,,24,CVn
TYC 3467-1257-1,Alkaid,η,85,UMa
TYC 3468-1122-1,,,13,Boo
TYC 3469-1262-1,,,,
TYC 3470-608-1,,,,UMa
TYC 3471-1250-1,Asellus Tertius,κ2,17,Boo
TYC 3471-1251-1,,κ1,17,Boo
TYC 3472-1264-1,Xuange,λ,19,Boo
TYC 3474-1062-1,Merga,h,38,Boo
TYC 3475-1198-1,,g,24,Boo
TYC 3476-1538-1,,,,Boo
TYC 3477-1326-1,,,,
TYC 3477-1328-1,,,39,Boo
TYC 3478-1332-1,Asellus Primus,θ,23,Boo
TYC 3478-1333-1,Asellus Secundus,ι,21,Boo
TYC 3481-1099-1,,,,Boo
TYC 3484-1579-1,,k,47,Boo
TYC 3484-1580-1,,i,44,Boo
TYC 3489-1587-1,,,,Boo
TYC 3491-1859-1,,υ,6,Her
TYC 3492-1909-1,,τ,22,Her
TYC 3500-2419-1,,,52,Her
TYC 3501-1373-1,,,,
TYC 3502-2257-1,,,34,Her
TYC 3502-2258-1,,,42,Her
TYC 3508-1742-1,,,74,Her
TYC 3510-1876-1,,ι,85,Her
TYC 3511-318-1,,,,Her
TYC 3511-2142-1,,,,Her
TYC 3513-423-1,,y,82,Her
TYC 3513-482-1,,x,77,Her
TYC 3515-1274-1,,z,88,Her
TYC 3521-1800-1,Rastaban,β,23,Dra
TYC 3523-1684-1,Eltanin,γ,33,Dra
TYC 3523-1685-1,,,30,Dra
TYC 3525-186-1,,,,
TYC 3545-3041-1,,,16,Lyr
TYC 3549-2883-1,,,,Dra
TYC 3550-1848-1,,,,
TYC 3554-1071-1,,,,Cyg
TYC 3555-2111-1,,,7,Cyg
TYC 3555-2112-1,,ι,10,Cyg
TYC 3557-2486-1,Fawaris,δ,18,Cyg
TYC 3559-2796-1,,,30,Cyg
TYC 3559-2797-1,,ο1,31,Cyg
TYC 3562-2427-1,,,,Cyg
TYC 3563-2401-1,,,,Cyg
TYC 3564-3157-1,,θ,13,Cyg
TYC 3564-3159-1,,,,Cyg
TYC 3565-1524-1,,c,16,Cyg
TYC 3565-1525-1,,c,16,Cyg
TYC 3566-1919-1,,e,26,Cyg
TYC 3568-2325-1,,,,
TYC 3570-2426-1,,ψ,24,Cyg
TYC 3572-692-1,,,,Cyg
TYC 3572-1530-1,,,,Cyg
TYC 3573-1361-1,,,,Cyg
TYC 3574-3347-1,Deneb,α,50,Cyg
TYC 3575-6709-1,,,55,Cyg
TYC 3576-2157-1,,ο2,32,Cyg
TYC 3579-4461-1,,f1,59,Cyg
TYC 3581-2029-1,,,43,Cyg
TYC 3581-2030-1,Ruchba,ω2,46,Cyg
TYC 3581-2031-1,Ruchba,ω1,45,Cyg
TYC 3582-2132-1,,,51,Cyg
TYC 3588-12112-1,,,60,Cyg
TYC 3590-3349-1,,g,71,Cyg
TYC 3591-3420-1,,,,Cyg
TYC 3591-3421-1,,ρ,73,Cyg
TYC 3591-3422-1,,,,Cyg
TYC 3592-7443-1,,f2,63,Cyg
TYC 3598-1644-1,,,,Cyg
TYC 3603-3215-1,Azelfafage,π1,80,Cyg
TYC 3605-2848-1,,,,Lac
TYC 3606-784-1,,,,Lac
TYC 3607-2600-1,,,2,Lac
TYC 3609-2651-1,,,,Lac
TYC 3609-2652-1,,,,Lac
TYC 3611-2304-1,,,5,Lac
TYC 3612-3062-1,,π2,81,Cyg
TYC 3615-3021-1,,,4,Lac
TYC 3619-4081-1,,β,3,Lac
TYC 3623-2738-1,,,4,And
TYC 3626-1877-1,,,,Lac
TYC 3628-955-1,,,,Lac
TYC 3628-3193-1,,α,7,Lac
TYC 3631-1888-1,,,,And
TYC 3631-1934-1,,,5,And
TYC 3631-2230-1,,,3,And
TYC 3631-2231-1,,,7,And
TYC 3632-3260-1,,,9,Lac
TYC 3636-2562-1,,,,And
TYC 3637-1179-1,,,,And
TYC 3638-438-1,,,,And
TYC 3638-2515-1,,λ,16,And
TYC 3638-2516-1,,ψ,20,And
TYC 3639-164-1,,,,And
TYC 3639-484-1,,,,And
TYC 3640-1810-1,,,11,And
TYC 3644-2208-1,,,8,And
TYC 3646-911-1,,,18,And
TYC 3647-12-1,,,,
TYC 3654-2132-1,Fulu,ζ,17,Cas
TYC 3658-2414-1,,λ,14,Cas
TYC 3663-2668-1,Shedar,α,18,Cas
TYC 3663-2669-1,Achird,η,24,Cas
TYC 3664-1985-1,Caph,β,11,Cas
TYC 3664-1986-1,,,,Cas
TYC 3673-1923-1,Marfak,θ,33,Cas
TYC 3673-1929-1,Marfak,μ,30,Cas
TYC 3677-1107-1,,,,Cas
TYC 3679-2209-1,,,,Cas
TYC 3680-1839-1,Castula,υ2,28,Cas
TYC 3680-1840-1,,υ1,26,Cas
TYC 3682-2389-1,,φ,34,Cas
TYC 3683-2185-1,,χ,39,Cas
TYC 3688-2149-1,,,1,Per
TYC 3689-131-1,,g,4,Per
TYC 3690-536-1,,,,Per
TYC 3690-2172-1,,i,9,Per
TYC 3690-2361-1,,,,Per
TYC 3693-1718-1,,,5,Per
TYC 3694-1454-1,,,10,Per
TYC 3694-1824-1,,,,Per
TYC 3694-2581-1,Misam al Thurayya,χ,7,Per
TYC 3694-2897-1,,,,Per
TYC 3694-3798-1,,,8,Per
TYC 3697-1178-1,,,,Cas
TYC 3697-3547-1,,,,Per
TYC 3701-1393-1,,γ,23,Per
TYC 3701-1394-1,,τ,18,Per
TYC 3704-1332-1,Miram,η,15,Per
TYC 3704-1333-1,,,11,Per
TYC 3708-1349-1,,,,Per
TYC 3709-1135-1,,k,,Per
TYC 3715-1248-1,,,,Cam
TYC 3715-1250-1,,,,Cam
TYC 3724-100-1,,,,Cam
TYC 3727-2001-1,,,,Cam
TYC 3729-1086-1,,,,
TYC 3732-1028-1,,,1,Cam
TYC 3732-1029-1,,,3,Cam
TYC 3732-1030-1,,,2,Cam
TYC 3734-2320-1,,,7,Cam
TYC 3734-2321-1,,,8,Cam
TYC 3738-1761-1,,,5,Cam
TYC 3741-1602-1,,,4,Cam
TYC 3743-2222-1,,,15,Cam
TYC 3746-264-1,,,,Cam
TYC 3746-2215-1,,,12,Cam
